ano,internacoes,codigo_municipio,municipio,obitos,taxa_mortalidade,populacao,fonte_populacao,internacoes_por_100k,obitos_por_100k
2022,742,130426,Uarini,14,1.8867924528301887,14431,IBGE - Censo Demografico 2022,5141.708821287506,97.01337398655673
2022,690,130430,Urucara,16,2.318840579710145,18631,IBGE - Censo Demografico 2022,3703.504911169556,85.87837475175782
2022,404,130440,Urucurituba,12,2.9702970297029703,23945,IBGE - Censo Demografico 2022,1687.1998329505118,50.11484652328252
2023,825,130002,Alvaraes,8,0.9696969696969697,16268,Interpolacao linear entre Censo 2022 e estimativa 2024,5071.305630686009,49.17629702483403
2023,507,130006,Amatura,2,0.39447731755424065,11115,Interpolacao linear entre Censo 2022 e estimativa 2024,4561.40350877193,17.99370220422852
2023,1387,130008,Anama,6,0.43258832011535686,10140,Interpolacao linear entre Censo 2022 e estimativa 2024,13678.500986193292,59.171597633136095
2023,1982,130010,Anori,14,0.7063572149344097,17563,Interpolacao linear entre Censo 2022 e estimativa 2024,11285.087969025793,79.71303308090873
2023,1125,130014,Apui,8,0.7111111111111111,21191,Interpolacao linear entre Censo 2022 e estimativa 2024,5308.857533858713,37.751875796328626
2023,722,130020,Atalaia Do Norte,11,1.5235457063711912,15603,Interpolacao linear entre Censo 2022 e estimativa 2024,4627.31525988592,70.49926296225085
2023,1627,130030,Autazes,18,1.1063306699446833,43446,Interpolacao linear entre Censo 2022 e estimativa 2024,3744.8786999953963,41.43074161027482
2023,1133,130040,Barcelos,28,2.471315092674316,18730,Interpolacao linear entre Censo 2022 e estimativa 2024,6049.11906033102,149.49279231179923
2023,2198,130050,Barreirinha,37,1.6833484986351228,32244,Interpolacao linear entre Censo 2022 e estimativa 2024,6816.772112641112,114.7500310135219
2023,1760,130060,Benjamin Constant,32,1.8181818181818181,39078,Interpolacao linear entre Censo 2022 e estimativa 2024,4503.81288704642,81.88750703720764
2023,840,130063,Beruri,18,2.142857142857143,21427,Interpolacao linear entre Censo 2022 e estimativa 2024,3920.2874877491017,84.00616045176646
2023,879,130068,Boa Vista Do Ramos,25,2.844141069397042,24777,Interpolacao linear entre Censo 2022 e estimativa 2024,3547.6449933405984,100.90002825200791
2023,2805,130070,Boca Do Acre,57,2.0320855614973263,36846,Interpolacao linear entre Censo 2022 e estimativa 2024,7612.766650382674,154.69793193290997
2023,2506,130080,Borba,26,1.0375099760574622,33980,Interpolacao linear entre Censo 2022 e estimativa 2024,7374.926427310183,76.51559741024133
2023,528,130083,Caapiranga,3,0.5681818181818182,13890,Interpolacao linear entre Censo 2022 e estimativa 2024,3801.295896328294,21.598272138228943
2023,543,130090,Canutama,6,1.1049723756906076,17377,Interpolacao linear entre Censo 2022 e estimativa 2024,3124.8201645853715,34.528399608678136
2023,1891,130100,Carauari,38,2.009518773135907,29817,Interpolacao linear entre Censo 2022 e estimativa 2024,6342.019653217963,127.44407552738372
2023,1908,130110,Careiro,46,2.410901467505241,31617,Interpolacao linear entre Censo 2022 e estimativa 2024,6034.7281525761455,145.49134959041024
2023,221,130115,Careiro Da Varzea,11,4.97737556561086,19723,Interpolacao linear entre Censo 2022 e estimativa 2024,1120.5191907924757,55.772448410485225
2023,4522,130120,Coari,133,2.941176470588235,72218,Interpolacao linear entre Censo 2022 e estimativa 2024,6261.596831814783,184.1646127004348
2023,1570,130130,Codajas,32,2.038216560509554,24000,Interpolacao linear entre Censo 2022 e estimativa 2024,6541.666666666666,133.33333333333334
2023,1558,130140,Eirunepe,50,3.209242618741977,34352,Interpolacao linear entre Censo 2022 e estimativa 2024,4535.398230088495,145.5519329296693
2023,1069,130150,Envira,21,1.9644527595884003,17553,Interpolacao linear entre Censo 2022 e estimativa 2024,6090.127043810175,119.63766877456845
2023,1493,130160,Fonte Boa,20,1.3395847287340925,26873,Interpolacao linear entre Censo 2022 e estimativa 2024,5555.762289286645,74.4241431920515
2023,950,130165,Guajara,11,1.1578947368421053,14074,Interpolacao linear entre Censo 2022 e estimativa 2024,6750.035526502771,78.15830609634787
2023,2602,130170,Humaita,55,2.113758647194466,59892,Interpolacao linear entre Censo 2022 e estimativa 2024,4344.486742803713,91.83196420223068
2023,2407,130180,Ipixuna,13,0.540091400083091,24884,Interpolacao linear entre Censo 2022 e estimativa 2024,9672.882173284037,52.24240475807748
2023,2182,130185,Iranduba,78,3.5747021081576533,64138,Interpolacao linear entre Censo 2022 e estimativa 2024,3402.0393526458574,121.61277245938446
2023,5619,130190,Itacoatiara,136,2.4203594945719877,108059,Interpolacao linear entre Censo 2022 e estimativa 2024,5199.937071414691,125.85717061975403
2023,1140,130195,Itamarati,6,0.5263157894736842,11334,Interpolacao linear entre Censo 2022 e estimativa 2024,10058.231868713605,52.93806246691371
2023,558,130200,Itapiranga,13,2.3297491039426523,10484,Interpolacao linear entre Censo 2022 e estimativa 2024,5322.396032048837,123.99847386493704
2023,585,130210,Japura,6,1.0256410256410255,9128,Interpolacao linear entre Censo 2022 e estimativa 2024,6408.851884312007,65.73181419807187
2023,37,130220,Jurua,6,16.216216216216218,10947,Interpolacao linear entre Censo 2022 e estimativa 2024,337.9921439663835,54.80953685941354
2023,1503,130230,Jutai,10,0.665335994677312,26414,Interpolacao linear entre Censo 2022 e estimativa 2024,5690.164306806996,37.858711289467706
2023,1545,130240,Labrea,41,2.6537216828478964,47188,Interpolacao linear entre Censo 2022 e estimativa 2024,3274.13749258286,86.8864965669238
2023,6733,130250,Manacapuru,189,2.8070696569137086,106287,Interpolacao linear entre Censo 2022 e estimativa 2024,6334.735198095721,177.82042959157752
2023,942,130255,Manaquiri,10,1.0615711252653928,17058,Interpolacao linear entre Censo 2022 e estimativa 2024,5522.335561027085,58.62351975612616
2023,111780,130260,Manaus,5035,4.504383610663805,2171688,Interpolacao linear entre Censo 2022 e estimativa 2024,5147.148209135014,231.84730034885308
2023,2243,130270,Manicore,48,2.139991083370486,55836,Interpolacao linear entre Censo 2022 e estimativa 2024,4017.1215703130597,85.96604341285192
2023,583,130280,Maraa,8,1.3722126929674099,15686,Interpolacao linear entre Censo 2022 e estimativa 2024,3716.690042075736,51.00089251561902
2023,3425,130290,Maues,106,3.0948905109489053,63459,Interpolacao linear entre Censo 2022 e estimativa 2024,5397.185584393073,167.0369845096834
2023,527,130300,Nhamunda,12,2.2770398481973433,20621,Interpolacao linear entre Censo 2022 e estimativa 2024,2555.647155812036,58.193104117162115
2023,1386,130310,Nova Olinda Do Norte,20,1.443001443001443,27664,Interpolacao linear entre Censo 2022 e estimativa 2024,5010.121457489879,72.29612492770387
2023,1218,130320,Novo Airao,21,1.7241379310344827,16114,Interpolacao linear entre Censo 2022 e estimativa 2024,7558.644656820157,130.32145960034754
2023,1827,130330,Novo Aripuana,18,0.9852216748768473,24402,Interpolacao linear entre Censo 2022 e estimativa 2024,7487.091222030981,73.76444553725104
2023,8092,130340,Parintins,157,1.940187839841819,99164,Interpolacao linear entre Censo 2022 e estimativa 2024,8160.2194344721875,158.32358517203824
2023,1080,130350,Pauini,21,1.9444444444444444,19802,Interpolacao linear entre Censo 2022 e estimativa 2024,5453.994546005454,106.04989395010605
2023,1262,130353,Presidente Figueiredo,39,3.0903328050713155,31836,Interpolacao linear entre Censo 2022 e estimativa 2024,3964.065837416761,122.50282698831512
2023,1001,130356,Rio Preto Da Eva,30,2.997002997002997,25330,Interpolacao linear entre Censo 2022 e estimativa 2024,3951.8357678641923,118.43663639952626
2023,605,130360,Santa Isabel Do Rio Negro,16,2.644628099173554,14170,Interpolacao linear entre Censo 2022 e estimativa 2024,4269.583627381793,112.91460832745237
2023,1600,130370,Santo Antonio Do Ica,11,0.6875,29330,Interpolacao linear entre Censo 2022 e estimativa 2024,5455.165359699966,37.504261847937265
2023,1752,130380,Sao Gabriel Da Cachoeira,52,2.968036529680365,54100,Interpolacao linear entre Censo 2022 e estimativa 2024,3238.4473197781886,96.11829944547135
2023,1992,130390,Sao Paulo De Olivenca,41,2.0582329317269075,34082,Interpolacao linear entre Censo 2022 e estimativa 2024,5844.727422099642,120.29810457132798
2023,748,130395,Sao Sebastiao Do Uatuma,11,1.4705882352941175,11958,Interpolacao linear entre Censo 2022 e estimativa 2024,6255.226626526175,91.98862686067905
2023,1054,130400,Silves,6,0.5692599620493358,11982,Interpolacao linear entre Censo 2022 e estimativa 2024,8796.528125521616,50.0751126690035
